2017migul_0,District Chairman's Award,frc2834,
2017migul_1,District Event Winner,frc5623,
2017migul_1,District Event Winner,frc5675,
2017migul_1,District Event Winner,frc910,
2017migul_10,Rookie All Star Award,frc6580,
2017migul_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc1504,
2017migul_14,Highest Rookie Seed,frc6568,
2017migul_15,Rookie Inspiration Award sponsored by National Instruments,frc6589,
2017migul_16,Industrial Design Award sponsored by General Motors,frc3656,
2017migul_17,Quality Award sponsored by Motorola Solutions Foundation,frc4453,
2017migul_18,Safety Award sponsored by Underwriters Laboratories,frc4381,
2017migul_2,District Event Finalist,frc5462,
2017migul_2,District Event Finalist,frc2834,
2017migul_2,District Event Finalist,frc5204,
2017migul_20,Creativity Award sponsored by Xerox,frc858,
2017migul_21,Excellence in Engineering Award sponsored by Delphi,frc5675,
2017migul_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc4237,
2017migul_27,Imagery Award in honor of Jack Kamen,frc6002,
2017migul_29,Innovation in Control Award sponsored by Rockwell Automation,frc5227,
2017migul_30,Team Spirit Award sponsored by FCA Foundation,frc910,
2017migul_9,District Engineering Inspiration Award,frc4381,
